City,Districts,Neigborhood,Postal,ED50_COORD_X,ED50_COORD_Y,ETRS89_COORD_X,ETRS89_COORD_Y,LATITUDE,LONGITUDE
BARCELONA,Ciutat Vella,El Raval,8001,430547.815,4580766.212,430455.882,4580565.291,41.373601,2.168384
BARCELONA,Ciutat Vella,El Barrio Gótico,8002,431135.676,4581289.728,431043.738,4581088.802,41.378367,2.175353
BARCELONA,Ciutat Vella,La Barceloneta,8003,432368.396,4581354.77,432276.446,4581153.843,41.379057,2.190086
BARCELONA,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",8003,431364.315,4582211.672,431272.375,4582010.738,41.38669,2.177982
BARCELONA,Eixample,El Fort Pienc,8013,431409.663,4582650.395,431317.722,4582449.457,41.390645,2.178475
BARCELONA,Eixample,La Sagrada Familia,8025,431178.052,4583633.71,431086.114,4583432.762,41.399482,2.175593
BARCELONA,Eixample,La Dreta de l'Eixample,8009,430234.511,4582657.491,430142.581,4582456.553,41.390608,2.164419
BARCELONA,Eixample,L'Antiga Esquerra de l'Eixample,8036,429695.888,4582174.504,429603.963,4581973.57,41.386211,2.158034
BARCELONA,Eixample,La Nova Esquerra de l'Eixample,8150,429324.443,4581616.278,429232.521,4581415.35,41.381151,2.153657
BARCELONA,Eixample,Sant Antoni,8015,430230.825,4580777.918,430138.895,4580576.997,41.373679,2.164592
BARCELONA,Sants Montjuic,El Poble Sec,8004,429125.017,4579749.949,429033.097,4579549.038,41.364324,2.15149
BARCELONA,Sants Montjuic,La Marina del Prat Vermell,8040,429786.937,4578444.686,429695.01,4578243.787,41.352626,2.159555
BARCELONA,Sants Montjuic,La Marina de Port,8038,427983.399,4578861.288,427891.489,4578660.386,41.356219,2.137948
BARCELONA,Sants Montjuic,La Font de la Guatlla,8004,428715.158,4580376.333,428623.242,4580175.416,41.369929,2.146517
BARCELONA,Sants Montjuic,Hostafrancs,8014,428681.309,4580681.632,428589.393,4580480.713,41.372676,2.146076
BARCELONA,Sants Montjuic,La Bordeta,8014,428253.458,4580379.959,428161.546,4580179.042,41.369921,2.140996
BARCELONA,Sants Montjuic,Sants - Badal,8028,427255.653,4580738.537,427163.75,4580537.617,41.373061,2.129023
BARCELONA,Sants Montjuic,Sants,8038,427826.064,4580808.75,427734.156,4580607.83,41.373745,2.135835
BARCELONA,Les Corts,Les Corts,8028,427496.084,4582193.61,427404.179,4581992.677,41.386188,2.131724
BARCELONA,Les Corts,La Maternitat i Sant Ramon,8028,426009.313,4581568.674,425917.422,4581367.747,41.380424,2.11402
BARCELONA,Les Corts,Pedralbes,8034,426803.083,4582541.969,426711.185,4582341.033,41.389262,2.123394
BARCELONA,Sarriá -Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",8017,424284.427,4586893.495,424192.553,4586692.519,41.42822,2.092727
BARCELONA,Sarriá -Sant Gervasi,Sarriá,8017,425129.479,4584466.353,425037.597,4584265.4,41.40644,2.10314
BARCELONA,Sarriá -Sant Gervasi,Les Tres Torres,8017,427216.109,4582906.52,427124.207,4582705.58,41.392583,2.12829
BARCELONA,Sarriá -Sant Gervasi,Sant Gervasi - La Bonanova,8022,427315.313,4584061.624,427223.411,4583860.674,41.402996,2.129338
BARCELONA,Sarriá -Sant Gervasi,Sant Gervasi - Galvany,8021,427843.606,4583042.576,427751.698,4582841.635,41.393865,2.135779
BARCELONA,Sarriá -Sant Gervasi,El Putget i Farró,8023,428460.902,4584183.781,428368.989,4583982.829,41.404199,2.143027
BARCELONA,Gracia,Vallcarca i els Penitents,8023,427716.225,4585666.925,427624.319,4585465.96,41.41749,2.133941
BARCELONA,Gracia,El Coll,8032,429084.026,4585423.204,428992.108,4585222.241,41.415417,2.150335
BARCELONA,Gracia,La Salut,8024,428892.044,4584706.433,428800.127,4584505.476,41.408944,2.148123
BARCELONA,Gracia,La Vila de Gràcia,8012,429396.591,4584363.916,429304.67,4584162.962,41.405904,2.154199
BARCELONA,Gracia,El Camp d'en Grassot i GrÃ cia Nova,8025,429720.203,4584718.873,429628.279,4584517.916,41.409129,2.158029
BARCELONA,Gracia,El Baix Guinard,8025,430160.768,4584919.577,430068.84,4584718.618,41.410975,2.163276
BARCELONA,Gracia,Can Baró,8024,429872.207,4585290.664,429780.281,4585089.702,41.414292,2.159781
BARCELONA,Gracia,El Guinardó,8025,431197.006,4586028.194,431105.068,4585827.224,41.42105,2.175547
BARCELONA,Gracia,La Font d'en Fargues,8032,430573.04,4586315.71,430481.108,4586114.738,41.423585,2.168048
BARCELONA,Horta-Guinardó,El Carmel,8032,429218.658,4585981.69,429126.739,4585780.721,41.420459,2.151881
BARCELONA,Horta-Guinardó,La Teixonera,8035,428798.808,4586138.831,428706.893,4585937.861,41.421837,2.146839
BARCELONA,Horta-Guinardó,Sant GenÃ­s dels Agudells,8032,427683.275,4586534.871,427591.37,4586333.898,41.425304,2.133443
BARCELONA,Horta-Guinardó,Montbau,8035,427435.699,4588286.263,427343.797,4588085.274,41.441055,2.13027
BARCELONA,Horta-Guinardó,La Vall d'Hebron,8035,428579.358,4586523.459,428487.445,4586322.485,41.425281,2.144167
BARCELONA,Horta-Guinardó,La Clota,8035,429214.695,4586633.069,429122.776,4586432.094,41.426325,2.151757
BARCELONA,Horta-Guinardó,Horta,8032,429877.325,4586529.082,429785.4,4586328.108,41.425447,2.159698
BARCELONA,Horta-Guinardó,Vilapicina i la Torre Llobeta,8031,431495.332,4586828.897,431403.392,4586627.92,41.428287,2.179026
BARCELONA,Horta-Guinardó,Porta,8016,431011.103,4587484.185,430919.168,4587283.202,41.434147,2.173156
