City,District,Neighborhood,Postal,Latitude,Longitude
Madrid,SALAMANCA           ,RECOLETOS           ,28001,40.41669,-3.700346
Madrid,CHAMARTIN,PROSPERIDAD,28002,40.4436806,-3.673545273
Madrid,CHAMARTIN,CIUDAD JARDIN,28002,40.45121887,-3.667724037
Madrid,CHAMARTIN,EL VISO,28002,40.4446238,-3.678636969
Madrid,CHAMBERI,RIOS ROSAS,28003,40.44661264,-3.703113948
Madrid,CHAMBERI,VALLEHERMOSO,28003,40.43896509,-3.708835359
Madrid,CHAMBERI,VALLEHERMOSO,28003,40.43991596,-3.710967726
Madrid,CENTRO,JUSTICIA,28004,40.42664222,-3.699722995
Madrid,CENTRO,UNIVERSIDAD,28004,40.42679289,-3.704581505
Madrid,CENTRO,EMBAJADORES,28005,40.40677803,-3.705527696
Madrid,ARGANZUELA,IMPERIAL,28005,40.40555135,-3.714565767
Madrid,ARGANZUELA,ACACIAS,28005,40.40480586,-3.703916146
Madrid,ARGANZUELA,IMPERIAL,28005,40.41037049,-3.720486085
Madrid,CENTRO,PALACIO,28005,40.41108452,-3.711383151
Madrid,ARGANZUELA,ACACIAS,28005,40.40213472,-3.703169472
Madrid,CENTRO,PALACIO,28005,40.41307968,-3.712170272
Madrid,CENTRO,EMBAJADORES,28005,40.40612987,-3.706923355
Madrid,ARGANZUELA,IMPERIAL,28005,40.40106583,-3.715861737
Madrid,CENTRO,PALACIO,28005,40.41209543,-3.713998533
Madrid,CHAMARTIN,EL VISO,28006,40.43969635,-3.681617697
Madrid,CHAMARTIN,EL VISO,28006,40.44209298,-3.686146215
Madrid,SALAMANCA,CASTELLANA,28006,40.43350061,-3.679668747
Madrid,RETIRO,ESTRELLA,28007,40.41586395,-3.665205626
Madrid,VILLA DE VALLECAS,SANTA EUGENIA,28007,40.38526054,-3.604406504
Madrid,RETIRO,PACIFICO,28007,40.40472769,-3.679332107
Madrid,RETIRO,ADELFAS,28007,40.40084131,-3.673766252
Madrid,MONCLOA-ARAVACA,CASA DE CAMPO,28008,40.42870179,-3.733708557
Madrid,MONCLOA-ARAVACA,CASA DE CAMPO,28008,40.42673322,-3.727309484
Madrid,MONCLOA-ARAVACA,ARGUELLES,28008,40.42491865,-3.714912145
Madrid,RETIRO,NIÑO JESUS,28009,40.4145497,-3.67435086
Madrid,RETIRO,IBIZA,28009,40.41901561,-3.677872722
Madrid,CHAMBERI,TRAFALGAR,28010,40.43821121,-3.702460461
Madrid,LATINA,LUCERO,28011,40.40763407,-3.749873143
Madrid,LATINA,PUERTA DEL ANGEL,28011,40.41091985,-3.723403069
Madrid,LATINA,PUERTA DEL ANGEL,28011,40.41118961,-3.727790341
Madrid,LATINA,PUERTA DEL ANGEL,28011,40.40563593,-3.738384162
Madrid,CENTRO,EMBAJADORES,28012,40.4114706,-3.7012748
Madrid,CENTRO,CORTES,28014,40.410557,-3.692920914
Madrid,RETIRO,PACIFICO,28014,40.40650867,-3.681341708
Madrid,CHAMBERI,ARAPILES,28015,40.43410369,-3.709739294
Madrid,CHAMBERI,ARAPILES,28015,40.4374333,-3.704456761
Madrid,CHAMARTIN,NUEVA ESPAÑA,28016,40.46541828,-3.669067773
Madrid,CHAMARTIN,NUEVA ESPAÑA,28016,40.46422875,-3.669126741
Madrid,CHAMARTIN,NUEVA ESPAÑA,28016,40.45953738,-3.679541863
Madrid,CIUDAD LINEAL,PUEBLO NUEVO,28017,40.42374626,-3.636508278
Madrid,CIUDAD LINEAL,VENTAS,28017,40.42401892,-3.649041757
Madrid,CIUDAD LINEAL,VENTAS,28017,40.42824646,-3.653432531
Madrid,CIUDAD LINEAL,VENTAS,28017,40.41968378,-3.652559914
Madrid,PUENTE DE VALLECAS,PALOMERAS SURESTE,28018,40.3831086,-3.642605225
Madrid,PUENTE DE VALLECAS,PALOMERAS SURESTE,28018,40.38481313,-3.639028093
Madrid,PUENTE DE VALLECAS,PALOMERAS SURESTE,28018,40.38577683,-3.643950119
Madrid,PUENTE DE VALLECAS,PALOMERAS SURESTE,28018,40.38200381,-3.642005681
Madrid,PUENTE DE VALLECAS,PALOMERAS BAJAS,28018,40.38742707,-3.662805033
Madrid,PUENTE DE VALLECAS,PALOMERAS BAJAS,28018,40.38617972,-3.657208308
Madrid,PUENTE DE VALLECAS,PALOMERAS BAJAS,28018,40.37657755,-3.655348004
Madrid,PUENTE DE VALLECAS,PALOMERAS BAJAS,28018,40.37919485,-3.660863043
Madrid,CARABANCHEL,COMILLAS,28019,40.39750351,-3.715010937
Madrid,CARABANCHEL,SAN ISIDRO,28019,40.39460546,-3.723240225
Madrid,CARABANCHEL,SAN ISIDRO,28019,40.39409637,-3.736808787
Madrid,CARABANCHEL,COMILLAS,28019,40.39379356,-3.713263166
Madrid,CARABANCHEL,OPAÑEL,28019,40.38761084,-3.725250788
Madrid,TETUAN,CUATRO CAMINOS,28020,40.45247841,-3.702962808
Madrid,TETUAN,CASTILLEJOS,28020,40.46160342,-3.69420003
Madrid,VILLAVERDE,LOS ROSALES,28021,40.35186683,-3.686184707
Madrid,VILLAVERDE,BUTARQUE,28021,40.34439346,-3.674746714
Madrid,VILLAVERDE,SAN CRISTOBAL,28021,40.34290689,-3.687000515
Madrid,VILLAVERDE,SAN ANDRES,28021,40.34604471,-3.70895673
Madrid,VILLAVERDE,BUTARQUE,28021,40.3454822,-3.67498128
Madrid,VILLAVERDE,BUTARQUE,28021,40.3517539,-3.677834634
Madrid,VILLAVERDE,SAN ANDRES,28021,40.34625499,-3.705508953
Madrid,VILLAVERDE,SAN CRISTOBAL,28021,40.34434045,-3.685296004
Madrid,VILLAVERDE,SAN ANDRES,28021,40.34365973,-3.70561143
Madrid,VILLAVERDE,SAN CRISTOBAL,28021,40.33969328,-3.689581642
Madrid,VILLAVERDE,LOS ANGELES,28021,40.34949911,-3.697947728
Madrid,VILLAVERDE,SAN CRISTOBAL,28021,40.3411625,-3.684910632
Madrid,VILLAVERDE,SAN ANDRES,28021,40.34402221,-3.71114912
Madrid,VILLAVERDE,SAN ANDRES,28021,40.34686368,-3.703195663
