City,District,Neigborhood,Postal,Coordenate X (cm) ,Coordenate Y (cm),Longitude en  ETRS89 WGS84,Latitude   ETRS89 WGS84
MADRID,SALAMANCA           ,RECOLETOS           ,28001,44184898,447515063,3º41'12.44'' W  ,40º25'23.09'' N 
MADRID,CHAMARTIN           ,CIUDAD JARDIN       ,28002,44313504,447825643,3º40'18.88'' W  ,40º27'4.11'' N  
MADRID,CHAMARTIN           ,PROSPERIDAD         ,28002,44279246,447730407,3º40'33.08'' W  ,40º26'33.15'' N 
MADRID,CHAMBERI            ,RIOS ROSAS          ,28003,44106797,447754591,3º41'46.39'' W  ,40º26'40.56'' N 
MADRID,CHAMBERI            ,VALLEHERMOSO        ,28003,43947141,447744899,3º42'54.1'' W   ,40º26'37.0'' N  
MADRID,CENTRO              ,JUSTICIA            ,28004,44075459,447525881,3º41'58.9'' W   ,40º25'26.31'' N 
MADRID,CENTRO              ,UNIVERSIDAD         ,28004,44035663,447503891,3º42'15.72'' W  ,40º25'19.08'' N 
MADRID,ARGANZUELA          ,ACACIAS             ,28005,44040028,447310621,3º42'13.24'' W  ,40º24'16.4'' N  
MADRID,ARGANZUELA          ,IMPERIAL            ,28005,43898294,447396444,3º43'13.65'' W  ,40º24'43.85'' N 
MADRID,CENTRO              ,PALACIO             ,28005,43974763,447376428,3º42'41.12'' W  ,40º24'37.57'' N 
MADRID,SALAMANCA           ,CASTELLANA          ,28006,44233043,447597443,3º40'52.3'' W   ,40º25'49.9'' N  
MADRID,CHAMARTIN           ,EL VISO             ,28006,44211932,447715912,3º41'1.65'' W   ,40º26'28.28'' N 
MADRID,SALAMANCA           ,GOYA                ,28006,44295826,447566782,3º40'25.55'' W  ,40º25'40.13'' N 
MADRID,SALAMANCA           ,LISTA               ,28006,44252560,447622115,3º40'44.06'' W  ,40º25'57.96'' N 
MADRID,RETIRO              ,ADELFAS             ,28007,44333167,447252795,3º40'8.67'' W   ,40º23'58.39'' N 
MADRID,RETIRO              ,ESTRELLA            ,28007,44367456,447433903,3º39'54.7'' W   ,40º24'57.21'' N 
MADRID,MONCLOA-ARAVACA     ,ARGUELLES           ,28008,43926336,447553110,3º43'2.31'' W   ,40º25'34.75'' N 
MADRID,MONCLOA-ARAVACA     ,CASA DE CAMPO       ,28008,43786333,447586802,3º44'1.84'' W   ,40º25'45.3'' N  
